Mandi_Name-Agmark,District_ID,District_Name-Agmark,State_Name
Begusarai,318.0,Begusarai,Bihar
Teghra,318.0,Begusarai,Bihar
Khagaria,319.0,Khagaria,Bihar
Mansi Mandi,319.0,Khagaria,Bihar
Bhagalpur,320.0,Bhagalpur,Bihar
Bihpur,320.0,Bhagalpur,Bihar
Kahalgaon,320.0,Bhagalpur,Bihar
Naugachiya,320.0,Bhagalpur,Bihar
Amarpur,321.0,Banka,Bihar
Barahat,321.0,Banka,Bihar
Rajaun,321.0,Banka,Bihar
Barbigha,324.0,Sheikhpura,Bihar
Shekhpura,324.0,Sheikhpura,Bihar
Saharsa,325.0,Saharsa,Bihar
Bhawanipur,326.0,Purnea,Bihar
Gulabbagh,326.0,Purnea,Bihar
Kaswa,326.0,Purnea,Bihar
Brahmpur,328.0,Buxar,Bihar
Buxur,328.0,Buxar,Bihar
Dumarao,328.0,Buxar,Bihar
Jehanabad,330.0,Jehanabad,Bihar
Nawada,331.0,Nawada,Bihar
Rajauli,331.0,Nawada,Bihar
Jamui,332.0,Jamui,Bihar
Sikandara,332.0,Jamui,Bihar
Bahadurganj,333.0,Kishanganj,Bihar
Kishanganj,333.0,Kishanganj,Bihar
Thakurganj,333.0,Kishanganj,Bihar
Arreria,334.0,Araria,Bihar
Forbesganj,334.0,Araria,Bihar
Raniganj,334.0,Araria,Bihar
Birpur,335.0,Supaul,Bihar
Supaul,335.0,Supaul,Bihar
Triveniganj,335.0,Supaul,Bihar
Sheohar,337.0,Sheohar,Bihar
Arwal,338.0,Arwal,Bihar
Chhapra,,Chhapra,Bihar
Chandigarh (F&V),,Chandigarh,Chandigarh
Chandigarh(Grain/Fruit),,Chandigarh,Chandigarh
Biranpur kalan (Sahaspur Lohra),2306.0,Kabirdham,Chattisgarh
Kawardha,2306.0,Kabirdham,Chattisgarh
Kunda,2306.0,Kabirdham,Chattisgarh
Pandariya,2306.0,Kabirdham,Chattisgarh
Pipriya,2306.0,Kabirdham,Chattisgarh
Amoda,2308.0,Kanker,Chattisgarh
Antagarh,2308.0,Kanker,Chattisgarh
Bardewri,2308.0,Kanker,Chattisgarh
Bhanupratappur,2308.0,Kanker,Chattisgarh
Charama,2308.0,Kanker,Chattisgarh
Dudhawa,2308.0,Kanker,Chattisgarh
Kanker,2308.0,Kanker,Chattisgarh
Korar,2308.0,Kanker,Chattisgarh
Lakhanpuri,2308.0,Kanker,Chattisgarh
Narharpur,2308.0,Kanker,Chattisgarh
Pakhanjur,2308.0,Kanker,Chattisgarh
Sambalpur,2308.0,Kanker,Chattisgarh
